name,color,odometer(km),doors,price
Toyota,White,36443,5,42809
Honda,Red,221377,2,22577
BMW,White,156730,5,9355
BMW,Red,63501,5,47998
Toyota,Black,136502,5,14116
Honda,Red,77208,4,12772
Toyota,White,169000,4,32868
Honda,Blue,189158,2,6035
BMW,Black,209518,5,12795
Honda,White,178534,2,13649
Honda,White,85220,4,33648
Honda,Black,27072,4,12869
Toyota,Red,75291,4,19397
Toyota,Red,32657,2,12229
BMW,Gray,201554,4,37260
Honda,Black,12714,2,12263
BMW,Black,164434,5,9538
BMW,Green,247351,5,21867
BMW,Green,187728,4,8942
Toyota,Green,237705,2,15241
BMW,Gray,191891,2,28033
Honda,Black,115668,5,41480
Toyota,Gray,20641,4,35154
Honda,Silver,57914,2,47239
Honda,White,210287,5,9147
Toyota,White,14921,4,30465
Toyota,Red,204300,4,28669
BMW,Blue,76340,4,33336
Toyota,Silver,12702,4,48591
Honda,White,234872,5,16490
Honda,Silver,235525,5,9283
Honda,Blue,105833,5,6169
Honda,Silver,35611,2,27128
BMW,Blue,234062,4,20018
Toyota,Red,32205,5,12999
Toyota,Gray,49006,2,47866
BMW,Black,142694,2,31367
Honda,Gray,228176,4,21496
Honda,Red,76844,2,39360
Honda,Gray,67025,5,6466
Honda,Blue,15953,2,26943
BMW,Silver,179502,2,15849
Toyota,Green,152084,2,40285
Honda,Silver,76231,4,8969
Toyota,Black,134421,4,45338
BMW,Black,164391,5,41861
BMW,Black,84366,2,24511
Toyota,Green,41164,5,39682
BMW,Green,172341,2,20656
Toyota,Silver,52577,5,8286
Honda,Silver,104403,4,41573
Toyota,Black,97172,2,25269
BMW,Gray,71400,5,17693
Honda,Silver,218849,2,6781
Honda,White,249752,5,16423
Honda,Silver,180348,5,35260
BMW,Black,94008,2,19423
Honda,Gray,209828,4,45194
Honda,Blue,79806,5,27692
Honda,Black,55661,2,15433
Honda,White,70602,5,23556
Honda,Gray,197797,2,40870
Toyota,Blue,141582,5,7916
BMW,Green,152834,5,48895
BMW,Red,40745,5,32168
Honda,Blue,194072,4,19116
Honda,Blue,209267,2,20269
BMW,Black,193289,2,26642
BMW,Red,170967,2,17733
BMW,Red,50774,5,46107
Toyota,Green,48726,4,13086
Honda,Black,102086,4,44825
Toyota,Green,134189,4,20557
Toyota,White,107675,2,9817
Toyota,Blue,85183,4,37837
BMW,Gray,224256,4,10832
Honda,Blue,82289,5,49215
Honda,Black,203734,4,26426
Toyota,White,64742,2,28093
BMW,Silver,65285,2,49374
Honda,Red,148657,5,40893
Honda,Green,107182,2,45653
Honda,Green,21767,2,16788
Honda,Blue,158792,4,39574
BMW,Silver,99389,5,44596
Honda,Black,7894,4,23561
Honda,White,33828,2,47170
Toyota,Black,90577,2,22123
Toyota,Black,161979,4,37407
BMW,Gray,175486,2,6214
BMW,Red,213837,5,40709
BMW,Green,51486,4,36853
Honda,Silver,227308,5,8083
Honda,Red,86218,2,28416
Toyota,White,87168,4,33766
BMW,Black,172917,4,25279
Toyota,Red,231219,2,35114
BMW,Green,9901,4,14260
Toyota,Black,195635,4,20119
BMW,White,95763,4,8074
Toyota,Silver,190562,4,25741
BMW,Silver,68584,2,9864
Toyota,White,106059,2,16647
Honda,Black,161934,5,23176
Honda,Red,8575,2,19703
Toyota,Silver,82377,4,13099
BMW,White,132369,4,24417
Toyota,Silver,226550,4,51304
BMW,Red,124387,2,6737
Honda,White,141203,5,23284
Toyota,Red,91122,2,50748
Honda,Silver,90482,5,16369
Honda,Gray,15589,5,16262
Toyota,Red,73585,5,26323
Honda,Silver,186313,2,22524
